SLOT,"PLAYER, TEAM POS",ACTION,,GAMES: OPPONENTS,,GP,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3PM,REB,AST,STL,BLK,PTS,,PR15,%OWN,+/-
PG,"Eric Bledsoe, Pho PG",,,"3: @Min, Hou, Phi",,14,33.1,7.7/17.8,0.434,5.3/6.1,0.86,1.9,5.1,5.6,2.1,0.8,22.6,,10.76,98.8,0
SG,"Jordan Clarkson, LAL PG, SG",,,"4: @Cha, @Mia, @Orl, LAC",,17,29.9,5.4/13.8,0.393,1.9/2.2,0.842,1.1,3.1,2.3,1.1,0,13.8,,1.33,76.8,-1.9
SF,"Kevin Durant, GS SF, PF",,,"4: Uta, @Bkn, @Det, @Cle",,15,33.6,8.1/16.1,0.506,5.9/6.7,0.89,1.7,8.9,4.9,0.9,2,23.9,,11.53,99.9,0
PF,"Aaron Gordon, Orl PF, SF",,,"3: @Mia, @NY, LAL",,16,24.8,4.2/9.8,0.429,1.0/1.9,0.516,1,4,1.4,0.5,0.4,10.4,,1.77,60.6,1.2
C,"Karl-Anthony Towns, Min C",,,"4: Pho, @Atl, Sac, @OKC",,15,35.7,8.5/18.5,0.458,4.7/5.8,0.816,1.1,13.2,2.4,0.7,1.6,22.7,,7.85,99.9,0
G,"Jrue Holiday, Nor PG",,,"3: @Phi, OKC, Mia",,12,30.6,5.2/12.8,0.405,1.8/2.7,0.688,1.3,4,5.7,1.2,0.5,13.4,,0.06,74.8,1.6
F,"John Henson, Mil PF, C",,,"3: Cle, @Cle, Wsh",,12,23.8,3.8/7.7,0.489,2.3/3.0,0.75,0,5.9,1.3,0.5,2.5,9.8,,2.14,19.8,-5.7
UTIL,"Kent Bazemore, Atl SG, SF",,,"3: @OKC, Min, @Den",,14,25.6,3.6/10.9,0.327,1.4/2.2,0.613,0.9,3.6,2.4,1.1,0.4,9.4,,-4.19,54,-1.1
UTIL,"Gary Harris, Den SG",,,"3: Dal, @LAC, Atl",,3,32,7.3/11.0,0.667,2.3/3.7,0.636,2.3,3,4,1.7,0.3,19.3,,0.38,34.8,24.7
UTIL,"Luol Deng, LAL SF  DTD",,,"4: @Cha, @Mia, @Orl, LAC",,17,26.9,3.6/8.6,0.425,0.4/0.9,0.438,1.1,5.1,1.5,1.4,0.1,8.8,,3.84,29.8,3
